t_seconds,latency_ms
3.688750,162.0670
3.788925,65.5778
3.828654,27.2361
3.727448,130.9525
3.773626,90.3130
3.802119,63.7437
3.844383,25.4653
3.664197,214.0219
3.691785,189.7132
3.749184,137.2851
3.761672,126.1507
3.244674,644.3735
3.770308,119.7502
3.712913,180.3292
3.747604,150.1438
3.516999,382.1056
3.711934,216.8280
3.878220,53.0659
3.698593,238.8197
3.835322,103.9114
3.723478,217.7363
3.846674,98.6368
3.758685,187.5979
3.668302,279.2375
3.697636,253.6722
3.854503,102.3277
3.869849,90.4295
3.804734,156.5650
3.687193,278.2534
3.941214,28.6922
3.850818,121.3372
3.660852,317.2541
3.928764,50.3396
3.818046,163.7854
3.937413,45.4061
3.814296,175.3985
3.601611,390.3904
3.890059,103.0275
3.965447,29.1028
3.897748,99.8598
3.820040,182.0145
3.798310,205.1616
3.855890,151.0540
3.848912,162.6259
3.951309,62.1921
3.836281,178.1712
3.889048,132.9091
3.858401,165.8944
4.002055,23.1889
3.714378,312.5445
3.887823,140.8245
4.003472,32.5315
4.013502,23.4326
3.945311,92.5896
3.899106,141.0584
4.014452,27.1309
3.982820,65.4741
3.972156,77.1578
3.979104,74.6060
3.865863,193.4799
3.931286,131.4022
3.764492,300.7390
3.981832,85.3595
3.989695,80.4707
3.830099,242.5225
4.024296,52.9193
4.049314,31.3414
4.011538,73.3151
3.969907,116.7029
3.839320,248.7198
3.893243,198.0544
3.781041,315.6276
4.040164,57.8096
3.578577,521.7445
4.077216,26.4229
3.739791,367.6047
4.084854,23.7220
3.801135,309.6474
4.062689,50.8985
4.086610,28.4097
4.096669,24.1017
4.037901,84.9439
3.997609,129.5491
3.939234,190.4289
3.735194,396.3362
3.639935,495.9209
3.863939,274.3614
4.113588,26.2563
4.041584,100.4428
4.120771,26.1986
4.127158,23.8042
3.946283,205.6098
3.992002,163.8494
4.028648,130.0568
4.080656,78.9979
4.135856,24.7355
4.067192,103.9349
4.006945,165.7426
4.048295,125.3884
4.065232,109.4386
4.150963,25.1099
4.151893,26.4620
4.088041,94.5023
3.886469,300.3066
3.978107,216.5505
4.146970,49.0750
4.138301,61.0681
3.815263,385.1413
4.142027,62.1640
4.072622,137.7058
4.021957,189.9644
4.025244,188.1528
4.103639,113.1797
3.607752,609.9811
4.194658,26.2198
4.199370,25.9147
4.159654,73.2732
4.026923,208.1736
4.059344,181.1191
4.172688,68.7022
4.216819,25.5035
4.173683,70.2316
4.155852,89.0424
4.217733,28.5439
4.091298,157.0245
4.129664,122.5612
4.139845,117.1602
4.232928,31.9960
4.158706,107.1507
4.240464,29.4889
3.947540,324.0357
